gameid,player,champion,ally_win,player_wr,t_bint,is_main_h,mastery_points,smurf_count_a,smurf_count_e,hotstreak_count_a,hotstreak_count_e,4fun,veteran_count_a,veteran_count_e,inters_count_a,inters_count_e,break_count_a,break_count_e,a_sum_a,a_sum_e,d_sum_a,d_sum_e,m_sum_a,m_sum_e,wr_med_a,wr_min_a,wr_max_a,wr_med_e,wr_min_e,wr_max_e,max_med_kd_a,max_med_kd_e,4fun_a,4fun_e
NA1_3933909653,CheesyTea,Seraphine,False,0.5078864353312302,0.06285822870108679,False,126626,0,0,1,0,False,0,0,1,4,92998.0,255694.0,28,34,18,19,14,28,0.5078864353312302,0.28125,0.5339805825242718,0.5507246376811594,0.5,0.6216216216216216,1.5,2.0,0,1
NA1_3933894196,CheesyTea,Warwick,True,0.5078864353312302,0.06285822870108679,False,10231,0,0,1,0,False,0,0,1,0,172637.0,90641.0,29,26,29,27,24,29,0.5078864353312302,0.28125,0.5339805825242718,,,,1.5,2.3333333333333335,0,0
NA1_3939434684,Johnson1331,Gwen,True,0.49,0.09804984863733748,False,5077,0,0,0,0,False,0,0,1,1,178378.0,695004.0,33,28,18,22,27,23,0.47619047619047616,0.42857142857142855,0.49,0.5,0.4722222222222222,0.5777777777777777,2.375,3.2222222222222223,0,0
NA1_3938738975,Johnson1331,Twitch,True,0.49,0.09804984863733748,False,50353,0,0,1,0,False,0,0,1,1,187334.0,189631.0,32,38,22,20,24,21,0.5045045045045045,0.46938775510204084,0.5498154981549815,0.5063291139240507,0.42424242424242425,0.5555555555555556,1.4,2.0,1,2
NA1_3938761022,Johnson1331,Annie,True,0.49,0.09804984863733748,False,34615,0,0,0,0,False,0,0,2,3,187334.0,146144.0,34,26,21,18,17,20,0.4857142857142857,0.46938775510204084,0.5833333333333334,0.4831932773109244,0.42857142857142855,0.5177664974619289,2.5714285714285716,3.1666666666666665,0,0
NA1_3938640408,Johnson1331,DrMundo,True,0.49,0.09804984863733748,False,20939,0,0,0,0,False,0,0,1,1,69743.0,127918.0,27,27,23,11,26,20,0.5007235890014472,0.49,0.5485714285714286,0.498371335504886,0.42857142857142855,0.5299727520435967,2.5,1.0,1,0
NA1_3938505544,Johnson1331,Soraka,False,0.49,0.09804984863733748,False,5054,0,0,1,3,False,0,0,3,1,1726797.0,232263.0,27,25,24,24,25,24,0.4811320754716981,0.42857142857142855,0.5099882491186839,0.5147058823529411,0.47191011235955055,0.5398230088495575,3.1666666666666665,1.75,0,0
NA1_3940325672,Demxnn,Kayn,True,0.48945147679324896,0.12888153302576366,False,68729,0,0,0,0,False,0,0,1,3,81004.0,47784.0,35,28,19,21,22,30,0.5,0.44041450777202074,0.5330188679245284,0.48148148148148145,0.3333333333333333,0.5015015015015015,3.25,4.0,0,0
NA1_3940351460,Demxnn,Kayn,False,0.48945147679324896,0.12888153302576366,False,68729,0,1,0,0,False,0,0,1,1,83914.0,50479.0,39,32,23,25,14,28,0.4651898734177215,0.2631578947368421,0.49838709677419357,0.4919786096256685,0.44329896907216493,0.5277777777777778,1.8571428571428572,14.0,0,0
NA1_3940309255,Demxnn,Kayn,True,0.48945147679324896,0.12888153302576366,False,68729,0,0,1,1,False,0,0,0,2,48572.0,422053.0,34,26,23,28,22,24,0.5054945054945055,0.4881656804733728,0.5238095238095238,0.492,0.42727272727272725,0.5081967213114754,3.4,1.5555555555555556,0,1
NA1_3940307708,Demxnn,MasterYi,False,0.48945147679324896,0.12888153302576366,False,79087,0,0,1,0,False,0,0,1,2,415143.0,88793.0,33,32,26,21,23,21,0.48945147679324896,0.42201834862385323,0.5193798449612403,0.4843373493975904,0.4521276595744681,0.4990769230769231,4.5,1.2222222222222223,1,0
NA1_3939406505,PuffinPineapple,Ezreal,True,0.48936170212765956,0.0821718143382391,False,444575,0,0,2,2,False,2,0,0,1,127086.0,75470.0,36,25,17,21,23,25,0.48936170212765956,0.44166666666666665,0.5179153094462541,0.5113636363636364,0.47468354430379744,0.5183823529411765,3.2,4.0,0,0
NA1_3938476311,PuffinPineapple,Ezreal,True,0.48936170212765956,0.0821718143382391,False,444575,0,0,0,0,False,0,0,1,1,78095.0,72162.0,28,26,21,24,28,28,0.5135135135135135,0.48936170212765956,0.5393700787401575,0.45555555555555555,0.4411764705882353,0.5028735632183908,2.0,3.857142857142857,0,0
NA1_3938422214,PuffinPineapple,Ezreal,True,0.48936170212765956,0.0821718143382391,False,444575,0,0,1,0,False,0,0,0,3,175251.0,195464.0,32,27,18,26,31,32,0.5,0.47230320699708456,0.5195121951219512,0.43859649122807015,0.391304347826087,0.46236559139784944,2.2857142857142856,2.0,0,1
NA1_3938248480,PuffinPineapple,Shaco,False,0.48936170212765956,0.0821718143382391,False,487540,0,0,0,0,False,0,0,1,0,143290.0,140118.0,33,32,22,26,27,21,0.5364431486880467,0.4584837545126354,0.5735294117647058,0.5016447368421053,0.4186046511627907,0.5343137254901961,1.5833333333333333,2.2,0,0
NA1_3937286424,ReferiJerator,Morgana,False,0.47333333333333333,0.10347060885754293,False,16915,0,0,0,1,False,0,0,1,0,71916.0,186011.0,34,23,19,22,17,25,0.49,0.39285714285714285,0.5299334811529933,0.5136186770428015,0.464,0.5306122448979592,2.0,2.4444444444444446,0,1
NA1_3937157419,ReferiJerator,Lulu,False,0.47333333333333333,0.10347060885754293,False,6369,0,0,0,0,False,0,0,0,3,71916.0,310584.0,33,33,21,20,25,29,0.49,0.47333333333333333,0.551948051948052,0.49740932642487046,0.45918367346938777,0.5789473684210527,2.0,1.1111111111111112,0,0
NA1_3936048605,ReferiJerator,Heimerdinger,False,0.47333333333333333,0.10347060885754293,False,7862,0,1,0,1,False,0,0,0,0,71916.0,123404.0,35,30,21,22,19,27,0.49,0.47333333333333333,0.49572649572649574,0.4939759036144578,0.4750542299349241,0.5277777777777778,2.4444444444444446,4.6,0,0
