gameid,player
NA1_3932304652,SauceBuryMan
NA1_3942463494,TheKillerBsURF
NA1_3941045865,TheKillerBsURF
NA1_3940225940,TheKillerBsURF
NA1_3940224822,TheKillerBsURF
NA1_3940192764,TheKillerBsURF
NA1_3934817310,sharedacheese
NA1_3934802726,sharedacheese
NA1_3934648710,sharedacheese
NA1_3934563863,sharedacheese
NA1_3934439445,sharedacheese
NA1_3937438650,Bakrunium
NA1_3937430843,Bakrunium
NA1_3937307325,Bakrunium
NA1_3935873371,Bakrunium
NA1_3933549560,Bakrunium
NA1_3942090157,DWFungi
NA1_3941455326,DWFungi
NA1_3941395743,DWFungi
NA1_3941391855,DWFungi
NA1_3940739368,DWFungi
NA1_3940707261,givetendies
NA1_3929217757,givetendies
NA1_3929220573,givetendies
NA1_3921997278,givetendies
NA1_3921974559,givetendies
NA1_3940707261,CastleFetishist
NA1_3939533139,CastleFetishist
NA1_3939364761,CastleFetishist
NA1_3938811979,CastleFetishist
NA1_3938758257,CastleFetishist
NA1_3941896445,Demoncat0
NA1_3941437579,Demoncat0
NA1_3941492206,Demoncat0
NA1_3941212372,Demoncat0
NA1_3941171760,Demoncat0
NA1_3941765912,Miisterii
NA1_3941666249,Miisterii
NA1_3941660743,Miisterii
NA1_3941625850,Miisterii
NA1_3941581429,Miisterii
NA1_3940707261,Tubs110
NA1_3921997278,Tubs110
NA1_3921974559,Tubs110
NA1_3913516270,Tubs110
NA1_3913499688,Tubs110
NA1_3941152000,boric
NA1_3941145011,boric
NA1_3940707261,boric
NA1_3940295745,boric
NA1_3940245862,boric
NA1_3942059319,SILVOM
NA1_3942024601,SILVOM
NA1_3941908794,SILVOM
NA1_3941509358,SILVOM
NA1_3941535174,SILVOM
NA1_3942466190,Vertexity
NA1_3942415173,Vertexity
NA1_3942462366,Vertexity
NA1_3942409805,Vertexity
NA1_3942374314,Vertexity
NA1_3940707261,Habibeast
NA1_3940673400,Habibeast
NA1_3940657881,Habibeast
NA1_3940563666,Habibeast
